model,light_strength,ambient_strength,psnr,psnr_std
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.25,18.686853790218287,0.6084012078433625
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.25,17.1765904100302,0.6276499819610312
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.2,15.030322189223494,0.18898981111732888
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.01,10.245023169462746,0.4151512358912041
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.2,17.956554967201225,0.6428315325519844
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.04,14.616810651041087,0.7706617240999064
Pottery_B0CJJ59SLH_BlueHairFairy,1.0,0.15,13.67947785694086,0.17793209490220488
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.04,18.294831213025894,1.5437250893511367
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.01,16.505666598778582,1.5238304877201516
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.05,18.621745960142984,1.4902461429950329
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.01,17.252533890478414,1.8110224809660918
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.1,18.12073524436047,0.8835093668958921
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.1,17.100717198390463,0.7787516696033125
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.03,19.900448152684607,2.11520290809392
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.25,22.97047705033463,0.6495015720366382
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.04,17.335882268879477,1.252024783047297
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.15,19.284418720756836,0.6538862605442981
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.25,17.3912275440364,0.6450983116228478
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.02,16.824008000343408,1.402947243716435
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.1,16.91898148105826,0.7703421522821856
Pottery_B0CJJ59SLH_BlueHairFairy,3.5,0.05,18.11995070834935,1.303555653913161
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.25,20.569070320550516,0.25977672901985555
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.25,21.651904181458775,0.463478085141444
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.01,16.73794773622467,1.583187652396653
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.05,16.97325478390827,1.0708458054571561
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.05,19.45430364632164,1.6010579065461266
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.15,21.125728419319955,0.8971943246828125
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.1,20.182255290419313,1.2885416275025077
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.04,20.106897861772374,1.9985498812706055
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.2,18.988266849072417,0.5566511691916997
Pottery_B0CJJ59SLH_BlueHairFairy,1.5,0.05,14.91266103165457,0.7338537395479523
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.03,17.96041065063047,1.6079525868966065
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.25,17.065847201580333,0.615039944747184
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.15,17.16270656261537,0.6591114056065611
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.02,16.596375974557382,1.3520628114268376
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.02,17.616830824938685,1.6890547223920755
Pottery_B0CJJ59SLH_BlueHairFairy,4.5,0.2,17.18438748048477,0.6294126731598955
Pottery_B0CJJ59SLH_BlueHairFairy,5.0,0.04,16.71676251578978,1.1257064312508627
